# Russian	Uzbek (Latin)	English
Не удалось подготовить безопасную передачу КИЗа в Wildberries. Обновите задание.	KIZni Wildberriesga xavfsiz yuborishni tayyorlab bo‘lmadi. Topshiriqni yangilang.	Could not prepare safe marking-code transfer to Wildberries. Refresh the task.
Wildberries не принял КИЗ: {0}	Wildberries KIZni qabul qilmadi: {0}	Wildberries did not accept the marking code: {0}
Отсутствует номер физической сверки.	Haqiqiy qoldiqni solishtirish raqami yo‘q.	Physical reconciliation number missing.
Подтвердите решение администратора после предварительной проверки.	Dastlabki tekshiruvdan keyin administrator qarorini tasdiqlang.	Confirm the administrator’s decision after the preliminary check.
Изменился источник сверки.	Solishtirish manbasi o‘zgardi.	Reconciliation source changed.
Сборка изменилась; освобождение КИЗа остановлено.	Terish o‘zgardi; KIZni bo‘shatish to‘xtatildi.	Picking changed; marking-code release stopped.
Подключение WB недоступно. Повторите подтверждение на ТСД после восстановления связи.	WB ulanishi mavjud emas. Aloqa tiklangach, TSDda tasdiqlashni takrorlang.	WB connection unavailable. Confirm again on the handheld when the connection is restored.
WB №{0}: {0}/{0}. Автоматический возврат отгруженного или отменённого заказа не выполнен.	WB №{0}: {0}/{0}. Jo‘natilgan yoki bekor qilingan buyurtma avtomatik qaytarilmadi.	WB #{0}: {0}/{0}. A shipped or cancelled order was not automatically returned.
WB №{0}: в заказе другой КИЗ. Его не изменяли.	WB №{0}: buyurtmada boshqa KIZ bor. U o‘zgartirilmadi.	WB #{0}: the order has a different marking code. It was not changed.
Сначала подтвердите источник и товар.	Avval manba va tovarni tasdiqlang.	Confirm the source and item first.
Сначала завершите переклейку и отсканируйте новый ШК товара.	Avval qayta yorliqlashni tugating va tovarning yangi shtrixkodini skanerlang.	Finish relabelling and scan the new product barcode first.
Сначала отсканируйте КИЗ и дождитесь подтверждения для {0}.	Avval KIZni skanerlang va {0} tasdig‘ini kuting.	Scan the marking code and wait for confirmation for {0} first.
Ozon ещё формирует этикетку. Нажмите «Обновить» и завершайте заказ только после появления этикетки.	Ozon hali yorliq tayyorlamoqda. “Yangilash”ni bosing va faqat yorliq chiqqach buyurtmani yakunlang.	Ozon is still generating the label. Tap “Refresh” and complete the order only after the label appears.
Переклейка ещё не подтверждена. Обновите задание.	Qayta yorliqlash hali tasdiqlanmagan. Topshiriqni yangilang.	Relabelling not confirmed yet. Refresh the task.
КИЗ отменяется или ещё не подтверждён для {0}. Обновите задание.	KIZ bekor qilinmoqda yoki {0} uchun hali tasdiqlanmagan. Topshiriqni yangilang.	Marking code is being cancelled or not yet confirmed for {0}. Refresh the task.
Заявка FBS уже закрыта или отменена. Обновите очередь.	FBS topshirig‘i yopilgan yoki bekor qilingan. Navbatni yangilang.	FBS request already closed or cancelled. Refresh the queue.
Товар больше не найден в заявке FBS. Обратитесь к администратору.	Tovar FBS topshirig‘ida endi topilmadi. Administratorga murojaat qiling.	Item no longer found in the FBS request. Contact an administrator.
Нужное количество по этой позиции уже собрано. Обновите очередь.	Bu pozitsiya uchun kerakli miqdor terilgan. Navbatni yangilang.	Required quantity for this item already picked. Refresh the queue.
Источник товара изменился. Обновите задание.	Tovar manbasi o‘zgardi. Topshiriqni yangilang.	Item source changed. Refresh the task.
Заказ уже завершён. КИЗ из завершённой сборки отменить нельзя.	Buyurtma yakunlangan. Yakunlangan terishdan KIZni bekor qilib bo‘lmaydi.	Order already completed. Cannot cancel a marking code from completed picking.
Состояние заказа изменилось. Обновите задание и повторите отмену.	Buyurtma holati o‘zgardi. Topshiriqni yangilang va bekor qilishni takrorlang.	Order state changed. Refresh the task and retry cancellation.
Не удалось отменить КИЗ в Wildberries: {0}	Wildberriesda KIZni bekor qilib bo‘lmadi: {0}	Could not cancel marking code in Wildberries: {0}
Собранный заказ нельзя отложить.	Terilgan buyurtmani keyinga qoldirib bo‘lmaydi.	Cannot postpone a picked order.
КИЗ уже передан Wildberries. Для замены обратитесь к администратору.	KIZ Wildberriesga yuborilgan. Almashtirish uchun administratorga murojaat qiling.	Marking code already sent to Wildberries. Contact an administrator to replace it.
Переклейка уже подтверждена и учтена в остатках. Завершите этот заказ.	Qayta yorliqlash tasdiqlangan va qoldiqda hisobga olingan. Bu buyurtmani tugating.	Relabelling confirmed and recorded in stock. Finish this order.
Проверка недоступна.	Tekshiruv mavjud emas.	Check unavailable.
Укажите проверку короба.	Quti tekshiruvini kiriting.	Specify the box check.
Задание FBS не найдено. Обновите очередь.	FBS topshirig‘i topilmadi. Navbatni yangilang.	FBS task not found. Refresh the queue.
Клиент не найден.	Mijoz topilmadi.	Client not found.
Сборка FBO	FBO yig‘ish	FBO picking
Упаковка FBO	FBO qadoqlash	FBO packing
FBO WB	FBO WB	FBO WB
FBO Ozon	FBO Ozon	FBO Ozon
Завершить отбор	Terishni yakunlash	Finish picking
Сначала завершите отбор в Сборка FBO.	Avval FBO yig‘ishda terishni yakunlang.	Finish picking in FBO picking first.
Отбор завершён. Откройте Упаковка FBO.	Terish tugadi. FBO qadoqlashni oching.	Picking complete. Open FBO packing.
Паллет найден	Pallet topildi	Pallet found
Нужный короб	Kerakli quti	Required box
Короб или паллет не требуется для этой сборки.	Bu yig‘ish uchun quti yoki pallet kerak emas.	This box or pallet is not required for this picking.
Сначала отсканируйте целые короба.	Avval butun qutilarni skanerlang.	Scan whole boxes first.
Нужный товар	Kerakli tovar	Required product
